depth	lineage	size
2	Faecalibacterium__Akkermansia	5
2	Faecalibacterium__Coprococcus	5
2	Fenollaria__Bacteroides	5
2	Fenollaria__Corynebacteriaceae	5
2	Fenollaria__Peptoniphilus	5
2	Lachnospiraceae__Ruminococcus	5
2	Lawsonella__Chloroplast	5
2	Mitochondria__Chloroplast	5
2	Planococcaceae__Bacteroides	5
2	Prevotella_9__Alistipes	5
2	Prevotella_9__Anaerostipes	5
2	Prevotella_9__Bacteria	5
2	Prevotella_9__Blautia	5
2	Prevotella_9__Prevotella	5
2	Prevotella_9__Romboutsia	5
2	Prevotella_9__Ruminococcus	5
2	Prevotella_9__Unassigned	5
2	Prevotella_9__uncultured_4	5
2	Pseudomonas__Enterobacterales	5
2	Pseudomonas__Providencia	5
2	Pseudomonas__Xanthomonadaceae	5
2	Ruminococcus__Faecalibacterium	5
2	Staphylococcus__Bacteroides	5
2	Staphylococcus__Lactococcus	5
2	Streptococcus__Corynebacterium	5
2	Streptococcus__Porphyromonas	5
2	Subdoligranulum__Bifidobacterium	5
2	Xanthomonadaceae__Pseudomonas	5
2	[Eubacterium]_siraeum_group__Bacteroides	4
2	[Ruminococcus]_gnavus_group__Lachnospiraceae	4
2	Agathobacter__Corynebacteriaceae	4
2	Akkermansia__Enterobacteriaceae	4
2	Bacteria__Escherichia-Shigella	4
2	Bacteroides__Bacteria	4
2	Bacteroides__Erysipelotrichaceae_UCG-003	4
2	Bacteroides__Firmicutes	4
2	Bacteroides__Izemoplasmatales	4
2	Bacteroides__NK4A214_group	4
2	Bacteroides__Porphyromonas	4
2	Bacteroides__Proteus	4
2	Bifidobacterium__Lachnospiraceae	4
2	Bifidobacterium__Veillonella	4
2	Blautia__[Eubacterium]_hallii_group	4
2	Chloroplast__Lactococcus	4
2	Clostridia__Bacteroides	4
2	Clostridia_UCG-014__Subdoligranulum	4
2	Clostridia_UCG-014__UCG-002	4
2	Comamonadaceae__Pseudomonas	4
2	Corynebacteriaceae__Enterobacteriaceae	4
2	Corynebacteriaceae__Escherichia-Shigella	4
2	Corynebacterium__Chloroplast	4
2	Cutibacterium__Lawsonella	4
2	Enhydrobacter__Micrococcus	4
2	Enhydrobacter__Staphylococcus	4
2	Enterobacterales__Acinetobacter	4
2	Enterobacteriaceae__Alistipes	4
2	Enterobacteriaceae__Bifidobacterium	4
2	Enterobacteriaceae__Brevundimonas	4
2	Enterobacteriaceae__Lactobacillales	4
2	Enterobacteriaceae__Providencia	4
2	Enterobacteriaceae__Pseudomonadaceae	4
2	Enterobacteriaceae__Xanthomonadaceae	4
2	Escherichia-Shigella__Bacillus	4
2	Escherichia-Shigella__Fenollaria	4
2	Escherichia-Shigella__Romboutsia	4
2	Escherichia-Shigella__UCG-005	4
2	Faecalibacterium__[Eubacterium]_eligens_group	4
2	Faecalibacterium__Corynebacteriaceae	4
2	Faecalibacterium__Prevotellaceae_NK3B31_group	4
2	Finegoldia__Corynebacterium	4
2	Hafnia-Obesumbacterium__Enterobacteriaceae	4
2	Lachnospiraceae__[Eubacterium]_eligens_group	4
2	Lachnospiraceae__Alistipes	4
2	Lachnospiraceae__Anaerostipes	4
2	Lachnospiraceae__Ruminococcaceae	4
2	Lactobacillus__Anaerococcus	4
2	Lactobacillus__Bifidobacterium	4
2	Lactobacillus__Corynebacteriaceae	4
2	Lactobacillus__Prevotellaceae	4
2	Lactobacillus__Pseudomonas	4
2	Micrococcus__Staphylococcus	4
2	Mitochondria__Staphylococcus	4
2	Morganella__[Eubacterium]_eligens_group	4
2	Morganella__Lachnospiraceae	4
2	Muribaculaceae__Clostridia_UCG-014	4
2	Parabacteroides__Faecalibacterium	4
2	Pasteurellaceae__Corynebacterium	4
2	Pasteurellaceae__Enterobacteriaceae	4
2	Peptoniphilus__Fenollaria	4
2	Peptoniphilus__Finegoldia	4
2	Prevotella_9__Akkermansia	4
2	Prevotella_9__Prevotellaceae_NK3B31_group	4
2	Prevotella_9__Ruminococcaceae	4
2	Prevotellaceae__Prevotella	4
2	Providencia__Escherichia-Shigella	4
2	Pseudomonas__Clostridia_UCG-014	4
2	Pseudomonas__Corynebacterium	4
2	Pseudomonas__Veillonella	4
2	RF39__Faecalibacterium	4
2	Ruminococcaceae__Faecalibacterium	4
2	Staphylococcus__Lactobacillus	4
2	Staphylococcus__Unassigned	4
2	Stenotrophomonas__Bacteroides	4
2	Stenotrophomonas__Comamonadaceae	4
2	Streptococcus__Lachnospiraceae	4
2	Streptococcus__Mitochondria	4
2	UCG-002__Prevotella_9	4
2	Unassigned__Corynebacteriaceae	4
2	Unassigned__Corynebacterium	4
2	Unassigned__Cutibacterium	4
2	Unassigned__Enterobacteriaceae	4
2	Unassigned__Faecalibacterium	4
2	Unassigned__Prevotella_9	4
2	Unassigned__Subdoligranulum	4
2	[Eubacterium]_coprostanoligenes_group__Bacteroides	3
